央视,#genre#
CCTV8,http://39.135.250.174:80/wh7f454c46tw1524308272_2081887660/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226635/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EGim3CQL4Wu4x04gQ7NnGTA%7E9cdTq6ROEGOEOJbDNP_HB4cSB0kfUxam6uMjfdyqC2g0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205048%2C1136805%2C111.47.245.93%2C20250203205048%2CUmaiCHAN638728970aa82%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510503%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587105&from=10&hms_devid=4715&online=1738587105&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV9,http://39.135.250.163:80/wh7f454c46tw1584191192_-1302563043/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EGIWQC1y4v3CJyJuPqv-8hA%7E9cdTq6ROEGOEOJbDNP_HB18AOsvvbUP5tAwm749O-mw0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205142%2C1136805%2C111.47.245.93%2C20250203205142%2CUmaiCHAN5000039BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2CUmaiCHAN5000039BESTVSMGSMG%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587165&from=10&hms_devid=4713&online=1738587165&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV10,http://39.135.153.78:80/wh7f454c46tw1630637617_-1016995511/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226680/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ENrvUUSfUcLeQevdyt3MPDA%7E9cdTq6ROEGOEOJbDNP_HBwDJAEKg63HZPy4-XNW5YUk0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205242%2C1136805%2C111.47.245.93%2C20250203205242%2CUmaiCHAN3949784BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387384429%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587212&from=10&ocs=2_39.135.153.81_80&hms_devid=4706&online=1738587212&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV12,http://39.135.250.165:80/wh7f454c46tw1686953357_-636137927/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226560/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EAAIRuYlRtXFMZubSgNRntw%7E9cdTq6ROEGOEOJbDNP_HB7sHq_wWLZm9tln6YIhp18Y0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205359%2C1136805%2C111.47.245.93%2C20250203205359%2CUmaiCHAN5000040BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2CUmaiCHAN5000040BESTVSMGSMG%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587268&from=10&hms_devid=4712&online=1738587268&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV13,http://39.135.153.79:80/wh7f454c46tw1712471833_1080396733/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226688/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EooiULC5Y6pkWtCpctRLm6g%7E9cdTq6ROEGOEOJbDNP_HB0YzHvspUwa-Tz_cGJysczI0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205424%2C1136805%2C111.47.245.93%2C20250203205424%2CUmaiCHAN6000054BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387385576%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587294&from=10&hms_devid=4705&online=1738587294&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV15,http://39.135.250.171:80/wh7f454c46tw1746226826_169235484/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226677/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Eh1abSFOYvDP_KaODF9irBA%7E9cdTq6ROEGOEOJbDNP_HB-3580JGhmDPA6jtXuASbls0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205518%2C1136805%2C111.47.245.93%2C20250203205518%2CUmaiCHAN6000055BESTVSMGSMG%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C387386009%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587327&from=10&hms_devid=4711&online=1738587327&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV17,http://39.136.76.40:80/wh7f454c46tw1776621834_1307470187/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E7rj9GyeShUj9csLK8yMFpA%7E9cdTq6ROEGOEOJbDNP_HB_DcdsCOeHZ9F3WWCYBn4is0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205524%2C1136805%2C111.47.245.93%2C20250203205524%2CUmaiCHAN638728afa13b4%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C383510521%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587358&from=10&hms_devid=5531&online=1738587358&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
数字,#genre#
CCTV-4K,http://39.135.250.169:80/wh7f454c46tw1803177835_1580635897/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226766/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EfvWaEwLjerNr1o1J1m45mA%7E9cdTq6ROEGOEOJbDNP_HB5yDsVck7EOnb3VrvVXC7Rg0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203205554%2C1136805%2C111.47.245.93%2C20250203205554%2CUmaiCHAN6604ddd5cf779%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C482288279%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738587384&from=10&hms_devid=4710&online=1738587384&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV台球,http://39.135.153.80:80/wh7f454c46tw2508380138_1479852329/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226716/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7Etl-G-6is4VMYhq2H8PPY5A%7E9cdTq6ROEGOEOJbDNP_HB9cWx5s_o99766Uuhl48bVU0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203210805%2C1136805%2C111.47.245.93%2C20250203210805%2CUmaiCHAN6380775932cff%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C403634137%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738588089&from=10&hms_devid=4705&online=1738588089&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
CCTV兵器科技,http://39.135.250.165:80/wh7f454c46tw2526759761_-1267281314/huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226723/index.m3u8?zoneoffset=0&servicetype=1&icpid=88888888&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EuavGNFZXy7pqR0P16Bc5Tw%7E9cdTq6ROEGOEOJbDNP_HB1adIHBpc0JDnw9-6plNfXo0vh95HAN_M2bSUyIn39ih%7EExtInfoWNHSPSTb-3AG0FnUkYLPMw%3A20250203210823%2C1136805%2C111.47.245.93%2C20250203210823%2CUmaiCHAN638077907bdcd%2CRedirectUser_0%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2C403635035%2CEND&GuardEncType=2&BestvPlatform=1&MAC=54%3AC5%3A7A%3A72%3A13%3A39&STBID=&RTS=1738588108&from=10&ocs=2_39.135.153.78_80&hms_devid=4712&online=1738588108&vqe=3&it=H4sIAAAAAAAAAyspSkxO9XSxzSvNyVErTi30y7c1VktOzMnJzEv3y08BSYUFO8cbGhrqmegZWpjrmZmohYD0uOUkptsagJX6leYmpRZBOUB9walFZZnJqbYpxWl6ZYnFeonp6UWp6Yklmfl5egE5iZWhRTlQJQBymV6afgAAAA
